"Statistic","Year","Electoral Division","UNIT","VALUE"
"Household median gross income","2016","034 Dalkey-Coliemore, Dún Laoghaire-Rathdown","Euro","50093"
"Household median gross income","2016","035 Dalkey Hill, Dún Laoghaire-Rathdown","Euro","55983"
"Household median gross income","2016","036 Dalkey Upper, Dún Laoghaire-Rathdown","Euro","78722"
"Household median gross income","2016","037 Dundrum-Balally, Dún Laoghaire-Rathdown","Euro","65628"
"Household median gross income","2016","038 Dundrum-Kilmacud, Dún Laoghaire-Rathdown","Euro","82715"
"Household median gross income","2016","039 Dundrum-Sandyford, Dún Laoghaire-Rathdown","Euro","70871"
"Household median gross income","2016","040 Dundrum-Sweetmount, Dún Laoghaire-Rathdown","Euro","65673"
"Household median gross income","2016","041 Dundrum-Taney, Dún Laoghaire-Rathdown","Euro","62406"
"Household median gross income","2016","042 Dún Laoghaire-East Central, Dún Laoghaire-Rathdown","Euro","49887"
"Household median gross income","2016","043 Dún Laoghaire-Glasthule, Dún Laoghaire-Rathdown","Euro","54756"
"Household median gross income","2016","044 Dún Laoghaire-Glenageary, Dún Laoghaire-Rathdown","Euro","65310"
"Household median gross income","2016","045 Dún Laoghaire-Monkstown Farm, Dún Laoghaire-Rathdown","Euro","49339"
"Household median gross income","2016","046 Dún Laoghaire-Mount Town, Dún Laoghaire-Rathdown","Euro","42290"
"Household median gross income","2016","047 Dún Laoghaire-Sallynoggin East, Dún Laoghaire-Rathdown","Euro","53416"
"Household median gross income","2016","048 Dún Laoghaire-Sallynoggin South, Dún Laoghaire-Rathdown","Euro","45078"
"Household median gross income","2016","049 Dún Laoghaire-Sallynoggin West, Dún Laoghaire-Rathdown","Euro","49502"
"Household median gross income","2016","050 Dún Laoghaire-Sandycove, Dún Laoghaire-Rathdown","Euro","64242"
"Household median gross income","2016","051 Dún Laoghaire-Salthill, Dún Laoghaire-Rathdown","Euro","60196"
"Household median gross income","2016","052 Dún Laoghaire-West Central, Dún Laoghaire-Rathdown","Euro","50770"
"Household median gross income","2016","053 Foxrock-Beechpark, Dún Laoghaire-Rathdown","Euro","76640"
"Household median gross income","2016","054 Foxrock-Carrickmines, Dún Laoghaire-Rathdown","Euro","90080"
"Household median gross income","2016","055 Foxrock-Deans Grange, Dún Laoghaire-Rathdown","Euro","77742"
"Household median gross income","2016","056 Foxrock-Torquay, Dún Laoghaire-Rathdown","Euro","92189"
"Household median gross income","2016","057 Glencullen, Dún Laoghaire-Rathdown","Euro","74418"
"Household median gross income","2016","058 Killiney North, Dún Laoghaire-Rathdown","Euro","78048"
"Household median gross income","2016","059 Killiney South, Dún Laoghaire-Rathdown","Euro","48665"
"Household median gross income","2016","060 Shankill-Rathmichael, Dún Laoghaire-Rathdown","Euro","60059"
"Household median gross income","2016","061 Shankill-Rathsallagh, Dún Laoghaire-Rathdown","Euro","48313"
"Household median gross income","2016","062 Shankill-Shanganagh, Dún Laoghaire-Rathdown","Euro","64827"
