"Statistic","Year","County","Dwelling Status","Stamp Duty Event","Type of Buyer","Type of Sale","UNIT","VALUE"
"Volume of Sales","2011","Limerick","Existing","Executions","Household Buyer - All","All Sale Types","Number","827"
"Volume of Sales","2011","Limerick","Existing","Executions","Household Buyer - All","Market","Number","509"
"Volume of Sales","2011","Limerick","Existing","Executions","Household Buyer - All","Non-Market","Number","318"
"Volume of Sales","2011","Limerick","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","177"
"Volume of Sales","2011","Limerick","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","144"
"Volume of Sales","2011","Limerick","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","33"
"Volume of Sales","2011","Limerick","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","447"
"Volume of Sales","2011","Limerick","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Number","250"
"Volume of Sales","2011","Limerick","Existing","Executions","Household Buyer - Former Owner-Occupier","Non-Market","Number","197"
"Volume of Sales","2011","Limerick","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","203"
"Volume of Sales","2011","Limerick","Existing","Executions","Household Buyer - Non-Occupier","Market","Number","115"
"Volume of Sales","2011","Limerick","Existing","Executions","Household Buyer - Non-Occupier","Non-Market","Number","88"
"Volume of Sales","2011","Limerick","Existing","Executions","Non-Household Buyer","All Sale Types","Number","19"
"Volume of Sales","2011","Limerick","Existing","Executions","Non-Household Buyer","Market","Number","15"
"Volume of Sales","2011","Limerick","Existing","Executions","Non-Household Buyer","Non-Market","Number","4"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Number","1053"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Filings","All Buyer Types","Market","Number","658"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Filings","All Buyer Types","Non-Market","Number","395"
