"Statistic","CensusYear","Province County or City","UNIT","VALUE"
"Total vacant dwellings 2016","2016","Dublin City","Number","21781"
"Total vacant dwellings 2016","2016","Dún Laoghaire-Rathdown","Number","5146"
"Total vacant dwellings 2016","2016","Fingal","Number","5858"
"Total vacant dwellings 2016","2016","South Dublin","Number","3947"
"Total vacant dwellings 2016","2016","Kildare","Number","5113"
"Total vacant dwellings 2016","2016","Kilkenny","Number","3729"
"Total vacant dwellings 2016","2016","Laois","Number","3302"
"Total vacant dwellings 2016","2016","Longford","Number","3281"
"Total vacant dwellings 2016","2016","Louth","Number","5005"
"Total vacant dwellings 2016","2016","Meath","Number","5326"
"Total vacant dwellings 2016","2016","Offaly","Number","3003"
"Total vacant dwellings 2016","2016","Westmeath","Number","4334"
"Total vacant dwellings 2016","2016","Wexford","Number","13168"
"Total vacant dwellings 2016","2016","Wicklow","Number","4698"
"Total vacant dwellings 2016","2016","Munster","Number","83398"
"Total vacant dwellings 2016","2016","Clare","Number","11219"
"Total vacant dwellings 2016","2016","Cork","Number","28405"
"Total vacant dwellings 2016","2016","Cork City","Number","4553"
"Total vacant dwellings 2016","2016","Cork County","Number","23852"
"Total vacant dwellings 2016","2016","Kerry","Number","18257"
"Total vacant dwellings 2016","2016","Limerick","Number","8856"
"Total vacant dwellings 2016","2016","Limerick City","Number","2583"
"Total vacant dwellings 2016","2016","Limerick County","Number","6273"
"Total vacant dwellings 2016","2016","North Tipperary","Number","4281"
"Total vacant dwellings 2016","2016","South Tipperary","Number","4638"
"Total vacant dwellings 2016","2016","Waterford","Number","7742"
"Total vacant dwellings 2016","2016","Waterford City","Number","2750"
"Total vacant dwellings 2016","2016","Waterford County","Number","4992"
"Total vacant dwellings 2016","2016","Connacht","Number","52681"
"Total vacant dwellings 2016","2016","Galway","Number","17631"
"Total vacant dwellings 2016","2016","Galway City","Number","3671"
"Total vacant dwellings 2016","2016","Galway County","Number","13960"
"Total vacant dwellings 2016","2016","Leitrim","Number","5375"
"Total vacant dwellings 2016","2016","Mayo","Number","15946"
"Total vacant dwellings 2016","2016","Roscommon","Number","6822"
"Total vacant dwellings 2016","2016","Sligo","Number","6907"
"Total vacant dwellings 2016","2016","Ulster (part of)","Number","33375"
"Total vacant dwellings 2016","2016","Cavan","Number","6162"
"Total vacant dwellings 2016","2016","Donegal","Number","23899"
"Total vacant dwellings 2016","2016","Monaghan","Number","3314"
"Vacancy Rate - 2016","2016","State","%","12.8"
"Vacancy Rate - 2016","2016","Leinster","%","8.6"
"Vacancy Rate - 2016","2016","Carlow","%","10.2"
"Vacancy Rate - 2016","2016","Dublin","%","6.9"
"Vacancy Rate - 2016","2016","Dublin City","%","9"
"Vacancy Rate - 2016","2016","Dún Laoghaire-Rathdown","%","5.9"
"Vacancy Rate - 2016","2016","Fingal","%","5.5"
"Vacancy Rate - 2016","2016","South Dublin","%","4"
"Vacancy Rate - 2016","2016","Kildare","%","6.3"
"Vacancy Rate - 2016","2016","Kilkenny","%","9.4"
"Vacancy Rate - 2016","2016","Laois","%","10"
"Vacancy Rate - 2016","2016","Longford","%","17.5"
"Vacancy Rate - 2016","2016","Louth","%","9.7"
"Vacancy Rate - 2016","2016","Meath","%","7.5"
"Vacancy Rate - 2016","2016","Offaly","%","9.7"
"Vacancy Rate - 2016","2016","Westmeath","%","11.6"
"Vacancy Rate - 2016","2016","Wexford","%","19.1"
